482,257,127,637,647,808,477,53,865,39,426,997,996,513,585,859,897,876
419,268,543,643,336,841,7,467,377,789,619,528,433,314,269,447,162,697
532,646,434,170,745,151,279,930,312,134,881,551,572,98,296,366,922,264
739,791,861,421,656,728,529,723,145,215,689,851,471,574,369,938,475,973
504,904,534,605,248,175,116,743,957,110,78,958,150,706,71,730,921,546
433,429,917,843,198,999,914,700,389,787,862,654,776,99,339,779,542,796
519,17,128,960,419,66,787,771,361,251,289,890,161,673,447,108,711,970
570,310,791,831,676,219,98,258,398,857,902,53,5,776,496,576,398,909
265,40,728,433,379,783,215,364,777,451,401,188,671,763,941,34,22,592
753,740,870,430,227,299,969,930,642,206,16,487,664,568,226,491,634,716
639,343,336,692,696,59,982,548,219,402,746,309,647,427,988,347,586,207
109,715,170,50,232,528,355,738,294,160,28,837,399,375,305,40,47,100
413,907,332,644,476,983,903,642,333,892,875,63,104,917,738,391,140,453
207,364,431,523,742,791,826,838,295,141,635,572,316,305,978,551,820,727
903,119,75,550,418,153,278,238,250,681,823,769,300,61,168,165,732,963
648,301,349,648,552,303,13,194,364,386,641,340,272,471,841,894,831,135
139,512,778,290,287,98,654,932,243,541,391,50,843,402,678,494,296,277
148,846,729,204,902,367,685,398,159,666,535,257,869,278,593,183,593,17
790,254,676,508,959,83,392,498,371,975,527,750,947,986,713,537,800,678
770,829,526,235,793,850,281,441,158,722,613,644,138,732,402,793,639,469
100,88,891,453,768,314,427,165,185,656,76,165,151,123,697,156,219,770
395,574,210,290,949,665,77,899,827,50,225,567,478,375,221,204,262,314
154,705,880,661,1,598,479,470,783,589,423,164,646,31,731,516,436,461
257,138,652,821,479,89,362,309,928,757,504,423,373,878,635,486,852,367
977,71,647,553,859,351,301,844,851,536,80,188,833,469,311,351,11,571
244,132,592,112,626,936,604,999,560,958,534,141,38,14,513,777,159,602
716,719,646,732,762,898,91,407,362,225,263,349,285,337,555,219,10,467
285,599,930,279,202,575,720,255,440,26,29,922,614,887,711,903,792,759
954,970,776,587,157,47,238,130,573,907,548,625,123,167,49,263,656,410
730,658,467,983,334,965,888,864,691,29,303,315,214,896,959,532,264,424
708,372,533,864,197,161,291,525,102,61,431,132,463,122,230,597,734,917
211,288,678,492,547,364,985,367,55,637,227,354,738,764,921,585,113,4
885,27,324,23,371,917,999,568,962,744,702,587,761,876,879,431,78,683
115,765,405,775,827,964,723,112,319,22,940,486,324,165,929,500,658,516
883,895,789,397,553,403,378,161,612,667,119,324,904,300,787,533,411,829
641,748,315,965,460,999,344,980,580,48,780,127,342,685,769,251,122,663
281,438,285,113,878,264,255,275,95,307,540,529,244,255,983,983,500,693
714,875,536,244,56,843,453,599,437,164,107,45,990,810,605,353,244,7
201,323,311,163,311,16,585,317,754,84,735,396,811,641,338,772,130,652
440,244,818,436,652,795,619,478,25,291,246,725,164,936,40,811,822,696
372,581,480,86,647,945,604,660,321,619,743,557,74,81,402,705,900,90
208,740,852,639,523,55,108,308,44,36,23,840,611,909,790,717,179,85
739,626,271,939,708,385,217,521,748,543,700,521,513,430,430,968,462,227
429,118,961,425,549,645,194,541,622,989,975,619,559,152,812,114,142,106
778,144,32,800,545,214,884,188,122,373,991,706,615,97,614,949,123,308
905,898,171,132,208,897,825,235,290,904,515,811,693,718,916,636,19,466
946,19,440,569,631,502,519,96,958,184,54,465,434,423,549,751,649,371
563,843,425,127,336,252,105,26,313,216,193,389,861,156,188,970,643,816
466,723,17,151,354,691,465,185,655,743,331,430,730,102,541,246,710,912
514,43,799,17,173,765,841,106,211,867,730,964,84,737,917,849,846,703
531,170,832,687,321,722,686,91,201,870,80,124,694,490,101,480,850,831
745,967,397,388,309,798,596,313,616,678,936,439,446,790,296,768,125,777
428,573,211,396,1000,360,643,502,822,989,846,451,388,854,432,516,401,555
611,751,811,762,639,335,74,671,365,552,811,811,548,539,603,454,668,630
515,583,298,417,740,390,703,945,90,465,768,795,750,661,712,330,355,247
367,268,172,723,71,760,855,389,430,365,894,180,256,986,143,990,47,602
827,17,648,867,362,581,81,597,645,847,755,152,997,954,362,737,380,643
294,954,923,633,730,549,870,470,61,98,796,715,464,506,854,652,99,894
374,251,527,903,798,18,305,282,648,3,28,491,865,905,902,996,509,285
632,337,780,787,725,889,950,148,957,271,930,927,219,581,84,228,387,617
43,279,709,909,946,990,738,339,653,860,640,28,205,998,665,462,255,928
763,103,728,951,870,92,398,712,598,627,928,682,462,468,51,578,66,779
716,628,701,885,596,440,144,2,23,865,113,592,654,835,433,3,914,705
225,603,576,971,940,96,962,757,422,941,556,569,871,691,172,298,686,553
229,874,327,744,161,877,700,214,372,189,5,712,402,945,576,531,526,347
38,480,573,463,200,265,684,375,674,199,193,874,448,863,702,466,751,380
47,435,632,939,68,240,80,227,399,675,22,778,69,119,724,739,992,536
364,493,295,477,792,163,193,682,599,783,27,463,962,552,350,370,528,550
709,598,466,186,232,906,332,715,725,300,968,473,880,643,907,9,926,79
515,940,445,418,932,944,160,608,412,91,116,63,228,852,228,476,85,571
490,528,882,515,585,529,683,952,594,954,620,488,648,169,538,613,855,582
187,393,849,239,355,933,45,563,380,274,347,619,816,16,869,779,854,488
23,981,44,943,393,519,707,216,265,510,928,732,519,205,90,507,49,783
153,902,212,380,370,810,61,714,431,58,80,70,449,400,114,180,64,333
142,557,692,224,456,593,712,948,801,465,646,721,617,896,982,752,590,131
432,773,454,113,478,458,867,659,812,822,817,215,104,32,711,744,437,314
662,116,203,21,990,575,457,361,101,596,21,725,969,240,191,318,108,246
234,830,273,724,785,226,529,390,702,364,615,915,763,217,450,979,544,949
107,858,907,409,898,967,835,75,759,676,247,856,976,196,647,173,210,981
519,376,293,452,578,147,411,510,293,798,187,491,481,139,611,340,440,516
879,970,805,131,849,934,436,131,903,873,352,731,871,708,428,160,385,993
705,8,639,71,897,42,593,18,541,390,767,237,465,409,621,698,834,669
619,962,588,668,492,460,83,665,814,800,685,375,696,420,844,60,264,211
653,811,841,443,843,782,191,506,223,319,850,924,596,76,770,865,113,23
80,853,420,887,832,314,334,930,678,908,777,570,370,202,827,331,907,93
558,988,992,782,527,445,874,893,587,700,447,561,519,660,987,839,939,255
643,837,892,599,465,343,281,96,67,244,213,333,658,238,605,318,668,709
482,961,848,318,789,237,225,223,259,103,913,898,832,686,627,844,455,63
219,456,931,695,369,541,253,391,544,267,817,521,751,540,217,46,121,302
783,408,713,290,696,631,296,741,839,635,72,525,678,397,316,962,255,418
279,838,285,913,974,186,821,584,449,645,744,779,221,284,345,494,664,50
441,67,737,323,273,598,518,300,338,716,901,638,65,591,905,185,776,877
529,590,589,166,933,457,943,348,751,980,265,738,25,964,723,518,198,154
841,637,733,122,797,155,877,766,113,259,341,641,570,51,562,216,281,701
121,781,231,87,512,921,239,867,563,245,307,677,910,377,257,653,228,94
29,985,168,755,266,582,201,377,113,571,85,771,983,683,821,422,871,555
237,821,449,273,944,314,239,206,95,685,851,568,603,642,785,250,979,697
512,870,264,227,263,907,515,447,834,501,560,15,857,812,643,544,517,161
591,609,309,502,679,757,681,637,304,892,722,992,218,842,367,640,366,460
240,490,201,604,394,470,847,667,201,462,344,18,76,206,77,521,76,547